id,timeInfected,infectedById
ADCEFFB:1,2011,ADCEFFB:ROOT
ADCEFFB:2,2011,ADCEFFB:ROOT
ADCEFFB:3,2011,ADCEFFB:ROOT
ADCEFFB:4,2011,ADCEFFB:ROOT
ADCEFFB:5,2011,ADCEFFB:ROOT
ADCEFFB:6,2011,ADCEFFB:ROOT
ADCEFFB:7,2011,ADCEFFB:ROOT
ADCEFFB:8,2011,ADCEFFB:ROOT
ADCEFFB:9,2011,ADCEFFB:ROOT
ADCEFFB:10,2011,ADCEFFB:ROOT
ADCEFFB:11,2011,ADCEFFB:ROOT
ADCEFFB:12,2011,ADCEFFB:ROOT
ADCEFFB:13,2011,ADCEFFB:ROOT
ADCEFFB:14,2011,ADCEFFB:ROOT
ADCEFFB:15,2011,ADCEFFB:ROOT
ADCEFFB:16,2011,ADCEFFB:ROOT
ADCEFFB:17,2011,ADCEFFB:ROOT
ADCEFFB:18,2011,ADCEFFB:ROOT
ADCEFFB:19,2011,ADCEFFB:ROOT
ADCEFFB:20,2011,ADCEFFB:ROOT
ADCEFFB:21,2011,ADCEFFB:ROOT
ADCEFFB:22,2011,ADCEFFB:ROOT
ADCEFFB:23,2011,ADCEFFB:ROOT
ADCEFFB:24,2011,ADCEFFB:ROOT
ADCEFFB:25,2011,ADCEFFB:ROOT
ADCEFFB:26,2011,ADCEFFB:ROOT
ADCEFFB:27,2011,ADCEFFB:ROOT
ADCEFFB:28,2011,ADCEFFB:ROOT
ADCEFFB:29,2011,ADCEFFB:ROOT
ADCEFFB:30,2011,ADCEFFB:ROOT
ADCEFFB:31,2011,ADCEFFB:ROOT
ADCEFFB:32,2011,ADCEFFB:ROOT
ADCEFFB:33,2011,ADCEFFB:ROOT
ADCEFFB:34,2011,ADCEFFB:ROOT
ADCEFFB:35,2011,ADCEFFB:ROOT
ADCEFFB:36,2011,ADCEFFB:ROOT
ADCEFFB:37,2011,ADCEFFB:ROOT
ADCEFFB:38,2011,ADCEFFB:ROOT
ADCEFFB:39,2011,ADCEFFB:ROOT
ADCEFFB:40,2011,ADCEFFB:ROOT
ADCEFFB:41,2011,ADCEFFB:ROOT
ADCEFFB:42,2011,ADCEFFB:ROOT
ADCEFFB:43,2011,ADCEFFB:ROOT
ADCEFFB:44,2011,ADCEFFB:ROOT
ADCEFFB:45,2011,ADCEFFB:ROOT
ADCEFFB:46,2011,ADCEFFB:ROOT
ADCEFFB:47,2011,ADCEFFB:ROOT
ADCEFFB:48,2011,ADCEFFB:ROOT
ADCEFFB:49,2011,ADCEFFB:ROOT
ADCEFFB:50,2011,ADCEFFB:ROOT
ADCEFFB:51,2011,ADCEFFB:ROOT
ADCEFFB:52,2011,ADCEFFB:ROOT
ADCEFFB:53,2011,ADCEFFB:ROOT
ADCEFFB:54,2011,ADCEFFB:ROOT
ADCEFFB:55,2011,ADCEFFB:ROOT
ADCEFFB:56,2011,ADCEFFB:ROOT
ADCEFFB:57,2011,ADCEFFB:ROOT
ADCEFFB:58,2011,ADCEFFB:ROOT
ADCEFFB:59,2011,ADCEFFB:ROOT
ADCEFFB:60,2011,ADCEFFB:ROOT
ADCEFFB:61,2011,ADCEFFB:ROOT
ADCEFFB:62,2011,ADCEFFB:ROOT
ADCEFFB:63,2011,ADCEFFB:ROOT
ADCEFFB:64,2011,ADCEFFB:ROOT
ADCEFFB:65,2011,ADCEFFB:ROOT
ADCEFFB:66,2011,ADCEFFB:ROOT
ADCEFFB:67,2011,ADCEFFB:ROOT
ADCEFFB:68,2011,ADCEFFB:ROOT
ADCEFFB:69,2011,ADCEFFB:ROOT
ADCEFFB:70,2011,ADCEFFB:ROOT
ADCEFFB:71,2011,ADCEFFB:ROOT
ADCEFFB:72,2011,ADCEFFB:ROOT
ADCEFFB:73,2011,ADCEFFB:ROOT
ADCEFFB:74,2011,ADCEFFB:ROOT
ADCEFFB:75,2011,ADCEFFB:ROOT
ADCEFFB:76,2011,ADCEFFB:ROOT
ADCEFFB:77,2011,ADCEFFB:ROOT
ADCEFFB:78,2011,ADCEFFB:ROOT
ADCEFFB:79,2011,ADCEFFB:ROOT
ADCEFFB:80,2011,ADCEFFB:ROOT
ADCEFFB:81,2011,ADCEFFB:ROOT
ADCEFFB:82,2011,ADCEFFB:ROOT
ADCEFFB:83,2011,ADCEFFB:ROOT
ADCEFFB:84,2011,ADCEFFB:ROOT
ADCEFFB:85,2011,ADCEFFB:ROOT
ADCEFFB:86,2011,ADCEFFB:ROOT
ADCEFFB:87,2011,ADCEFFB:ROOT
ADCEFFB:88,2011,ADCEFFB:ROOT
ADCEFFB:89,2011,ADCEFFB:ROOT
ADCEFFB:90,2011,ADCEFFB:ROOT
ADCEFFB:91,2011,ADCEFFB:ROOT
ADCEFFB:92,2011,ADCEFFB:ROOT
ADCEFFB:93,2011,ADCEFFB:ROOT
ADCEFFB:94,2011,ADCEFFB:ROOT
ADCEFFB:95,2011,ADCEFFB:ROOT
ADCEFFB:96,2011,ADCEFFB:ROOT
ADCEFFB:97,2011,ADCEFFB:ROOT
ADCEFFB:98,2011,ADCEFFB:ROOT
ADCEFFB:99,2011,ADCEFFB:ROOT
ADCEFFB:100,2011,ADCEFFB:ROOT
ADCEFFB:101,2011,ADCEFFB:ROOT
ADCEFFB:102,2011,ADCEFFB:ROOT
ADCEFFB:103,2011,ADCEFFB:ROOT
ADCEFFB:104,2011,ADCEFFB:ROOT
ADCEFFB:105,2011,ADCEFFB:ROOT
ADCEFFB:106,2011,ADCEFFB:ROOT
ADCEFFB:107,2011,ADCEFFB:ROOT
ADCEFFB:108,2011,ADCEFFB:ROOT
ADCEFFB:109,2011,ADCEFFB:ROOT
ADCEFFB:110,2011,ADCEFFB:ROOT
ADCEFFB:111,2011,ADCEFFB:ROOT
ADCEFFB:112,2011,ADCEFFB:ROOT
ADCEFFB:113,2011,ADCEFFB:ROOT
ADCEFFB:114,2011,ADCEFFB:ROOT
ADCEFFB:115,2011,ADCEFFB:ROOT
ADCEFFB:116,2011,ADCEFFB:ROOT
ADCEFFB:117,2011,ADCEFFB:ROOT
ADCEFFB:118,2011,ADCEFFB:ROOT
ADCEFFB:119,2011,ADCEFFB:ROOT
ADCEFFB:120,2011,ADCEFFB:ROOT
ADCEFFB:121,2011,ADCEFFB:ROOT
ADCEFFB:122,2011,ADCEFFB:ROOT
ADCEFFB:123,2011,ADCEFFB:ROOT
ADCEFFB:124,2011,ADCEFFB:ROOT
ADCEFFB:125,2011,ADCEFFB:ROOT
ADCEFFB:126,2011,ADCEFFB:ROOT
ADCEFFB:127,2011,ADCEFFB:ROOT
ADCEFFB:128,2011,ADCEFFB:ROOT
ADCEFFB:129,2011,ADCEFFB:ROOT
ADCEFFB:130,2011,ADCEFFB:ROOT
ADCEFFB:131,2011,ADCEFFB:ROOT
ADCEFFB:132,2011,ADCEFFB:ROOT
ADCEFFB:133,2011,ADCEFFB:ROOT
ADCEFFB:134,2011,ADCEFFB:ROOT
ADCEFFB:135,2011,ADCEFFB:ROOT
ADCEFFB:136,2011,ADCEFFB:ROOT
FCAGEGC:137,2011,FCAGEGC:ROOT
FCAGEGC:138,2011,FCAGEGC:ROOT
FCAGEGC:139,2011,FCAGEGC:ROOT
FCAGEGC:140,2011,FCAGEGC:ROOT
FCAGEGC:141,2011,FCAGEGC:ROOT
FCAGEGC:142,2011,FCAGEGC:ROOT
FCAGEGC:143,2011,FCAGEGC:ROOT
FCAGEGC:144,2011,FCAGEGC:ROOT
FCAGEGC:145,2011,FCAGEGC:ROOT
FCAGEGC:146,2011,FCAGEGC:ROOT
FCAGEGC:147,2011,FCAGEGC:ROOT
FCAGEGC:148,2011,FCAGEGC:ROOT
FCAGEGC:149,2011,FCAGEGC:ROOT
FCAGEGC:150,2011,FCAGEGC:ROOT
FCAGEGC:151,2011,FCAGEGC:ROOT
FCAGEGC:152,2011,FCAGEGC:ROOT
FCAGEGC:153,2011,FCAGEGC:ROOT
FCAGEGC:154,2011,FCAGEGC:ROOT
FCAGEGC:155,2011,FCAGEGC:ROOT
FCAGEGC:156,2011,FCAGEGC:ROOT
FCAGEGC:157,2011,FCAGEGC:ROOT
FCAGEGC:158,2011,FCAGEGC:ROOT
FCAGEGC:159,2011,FCAGEGC:ROOT
FCAGEGC:160,2011,FCAGEGC:ROOT
FCAGEGC:161,2011,FCAGEGC:ROOT
FCAGEGC:162,2011,FCAGEGC:ROOT
FCAGEGC:163,2011,FCAGEGC:ROOT
FCAGEGC:164,2011,FCAGEGC:ROOT
FCAGEGC:165,2011,FCAGEGC:ROOT
FCAGEGC:166,2011,FCAGEGC:ROOT
FCAGEGC:167,2011,FCAGEGC:ROOT
FCAGEGC:168,2011,FCAGEGC:ROOT
FCAGEGC:169,2011,FCAGEGC:ROOT
FCAGEGC:170,2011,FCAGEGC:ROOT
FCAGEGC:171,2011,FCAGEGC:ROOT
FCAGEGC:172,2011,FCAGEGC:ROOT
FCAGEGC:173,2011,FCAGEGC:ROOT
FCAGEGC:174,2011,FCAGEGC:ROOT
FCAGEGC:175,2011,FCAGEGC:ROOT
FCAGEGC:176,2011,FCAGEGC:ROOT
FCAGEGC:177,2011,FCAGEGC:ROOT
FCAGEGC:178,2011,FCAGEGC:ROOT
FCAGEGC:179,2011,FCAGEGC:ROOT
FCAGEGC:180,2011,FCAGEGC:ROOT
FCAGEGC:181,2011,FCAGEGC:ROOT
FCAGEGC:182,2011,FCAGEGC:ROOT
FCAGEGC:183,2011,FCAGEGC:ROOT
FCAGEGC:184,2011,FCAGEGC:ROOT
FCAGEGC:185,2011,FCAGEGC:ROOT
FCAGEGC:186,2011,FCAGEGC:ROOT
FCAGEGC:187,2011,FCAGEGC:ROOT
FCAGEGC:188,2011,FCAGEGC:ROOT
FCAGEGC:189,2011,FCAGEGC:ROOT
FCAGEGC:190,2011,FCAGEGC:ROOT
FCAGEGC:191,2011,FCAGEGC:ROOT
FCAGEGC:192,2011,FCAGEGC:ROOT
FCAGEGC:193,2011,FCAGEGC:ROOT
FCAGEGC:194,2011,FCAGEGC:ROOT
FCAGEGC:195,2011,FCAGEGC:ROOT
FCAGEGC:196,2011,FCAGEGC:ROOT
FCAGEGC:197,2011,FCAGEGC:ROOT
FCAGEGC:198,2011,FCAGEGC:ROOT
FCAGEGC:199,2011,FCAGEGC:ROOT
FCAGEGC:200,2011,FCAGEGC:ROOT
FCAGEGC:201,2011,FCAGEGC:ROOT
FCAGEGC:202,2011,FCAGEGC:ROOT
FCAGEGC:203,2011,FCAGEGC:ROOT
FCAGEGC:204,2011,FCAGEGC:ROOT
FCAGEGC:205,2011,FCAGEGC:ROOT
FCAGEGC:206,2011,FCAGEGC:ROOT
FCAGEGC:207,2011,FCAGEGC:ROOT
FCAGEGC:208,2011,FCAGEGC:ROOT
FCAGEGC:209,2011,FCAGEGC:ROOT
FCAGEGC:210,2011,FCAGEGC:ROOT
FCAGEGC:211,2011,FCAGEGC:ROOT
FCAGEGC:212,2011,FCAGEGC:ROOT
FCAGEGC:213,2011,FCAGEGC:ROOT
FCAGEGC:214,2011,FCAGEGC:ROOT
FCAGEGC:215,2011,FCAGEGC:ROOT
FCAGEGC:216,2011,FCAGEGC:ROOT
FCAGEGC:217,2011,FCAGEGC:ROOT
FCAGEGC:218,2011,FCAGEGC:ROOT
FCAGEGC:219,2011,FCAGEGC:ROOT
FCAGEGC:220,2011,FCAGEGC:ROOT
FCAGEGC:221,2011,FCAGEGC:ROOT
FCAGEGC:222,2011,FCAGEGC:ROOT
FCAGEGC:223,2011,FCAGEGC:ROOT
FCAGEGC:224,2011,FCAGEGC:ROOT
FCAGEGC:225,2011,FCAGEGC:ROOT
FCAGEGC:226,2011,FCAGEGC:ROOT
FCAGEGC:227,2011,FCAGEGC:ROOT
FCAGEGC:228,2011,FCAGEGC:ROOT
FCAGEGC:229,2011,FCAGEGC:ROOT
FCAGEGC:230,2011,FCAGEGC:ROOT
FCAGEGC:231,2011,FCAGEGC:ROOT
FCAGEGC:232,2011,FCAGEGC:ROOT
FCAGEGC:233,2011,FCAGEGC:ROOT
FCAGEGC:234,2011,FCAGEGC:ROOT
FCAGEGC:235,2011,FCAGEGC:ROOT
FCAGEGC:236,2011,FCAGEGC:ROOT
FCAGEGC:237,2011,FCAGEGC:ROOT
FCAGEGC:238,2011,FCAGEGC:ROOT
FCAGEGC:239,2011,FCAGEGC:ROOT
FCAGEGC:240,2011,FCAGEGC:ROOT
FCAGEGC:241,2011,FCAGEGC:ROOT
FCAGEGC:242,2011,FCAGEGC:ROOT
FCAGEGC:243,2011,FCAGEGC:ROOT
FCAGEGC:244,2011,FCAGEGC:ROOT
FCAGEGC:245,2011,FCAGEGC:ROOT
FCAGEGC:246,2011,FCAGEGC:ROOT
FCAGEGC:247,2011,FCAGEGC:ROOT
FCAGEGC:248,2011,FCAGEGC:ROOT
FCAGEGC:249,2011,FCAGEGC:ROOT
FCAGEGC:250,2011,FCAGEGC:ROOT
FCAGEGC:251,2011,FCAGEGC:ROOT
FCAGEGC:252,2011,FCAGEGC:ROOT
FCAGEGC:253,2011,FCAGEGC:ROOT
FCAGEGC:254,2011,FCAGEGC:ROOT
FCAGEGC:255,2011,FCAGEGC:ROOT
FCAGEGC:256,2011,FCAGEGC:ROOT
FCAGEGC:257,2011,FCAGEGC:ROOT
FCAGEGC:258,2011,FCAGEGC:ROOT
FCAGEGC:259,2011,FCAGEGC:ROOT
FCAGEGC:260,2011,FCAGEGC:ROOT
FCAGEGC:261,2011,FCAGEGC:ROOT
FCAGEGC:262,2011,FCAGEGC:ROOT
FCAGEGC:263,2011,FCAGEGC:ROOT
FCAGEGC:264,2011,FCAGEGC:ROOT
FCAGEGC:265,2011,FCAGEGC:ROOT
FCAGEGC:266,2011,FCAGEGC:ROOT
FCAGEGC:267,2011,FCAGEGC:ROOT
FCAGEGC:268,2011,FCAGEGC:ROOT
FCAGEGC:269,2011,FCAGEGC:ROOT
FCAGEGC:270,2011,FCAGEGC:ROOT
FCAGEGC:271,2011,FCAGEGC:ROOT
FCAGEGC:272,2011,FCAGEGC:ROOT
FCAGEGC:273,2011,FCAGEGC:ROOT
FCAGEGC:274,2011,FCAGEGC:ROOT
FCAGEGC:275,2011,FCAGEGC:ROOT
FCAGEGC:276,2011,FCAGEGC:ROOT
FCAGEGC:277,2011,FCAGEGC:ROOT
FCAGEGC:278,2011,FCAGEGC:ROOT
FCAGEGC:279,2011,FCAGEGC:ROOT
FCAGEGC:280,2011,FCAGEGC:ROOT
FCAGEGC:281,2011,FCAGEGC:ROOT
FCAGEGC:282,2011,FCAGEGC:ROOT
FCAGEGC:283,2011,FCAGEGC:ROOT
FCAGEGC:284,2011,FCAGEGC:ROOT
FCAGEGC:285,2011,FCAGEGC:ROOT
FCAGEGC:286,2011,FCAGEGC:ROOT
FCAGEGC:287,2011,FCAGEGC:ROOT
FCAGEGC:288,2011,FCAGEGC:ROOT
FCAGEGC:289,2011,FCAGEGC:ROOT
FCAGEGC:290,2011,FCAGEGC:ROOT
FCAGEGC:291,2011,FCAGEGC:ROOT
FCAGEGC:292,2011,FCAGEGC:ROOT
FCAGEGC:293,2011,FCAGEGC:ROOT
FCAGEGC:294,2011,FCAGEGC:ROOT
FCAGEGC:295,2011,FCAGEGC:ROOT
FCAGEGC:296,2011,FCAGEGC:ROOT
FCAGEGC:297,2011,FCAGEGC:ROOT
FCAGEGC:298,2011,FCAGEGC:ROOT
FCAGEGC:299,2011,FCAGEGC:ROOT
FCAGEGC:300,2011,FCAGEGC:ROOT
FCAGEGC:301,2011,FCAGEGC:ROOT
FCAGEGC:302,2011,FCAGEGC:ROOT
FCAGEGC:303,2011,FCAGEGC:ROOT
FCAGEGC:304,2011,FCAGEGC:ROOT
FCAGEGC:305,2011,FCAGEGC:ROOT
FCAGEGC:306,2011,FCAGEGC:ROOT
FCAGEGC:307,2011,FCAGEGC:ROOT
FCAGEGC:308,2011,FCAGEGC:ROOT
FCAGEGC:309,2011,FCAGEGC:ROOT
FCAGEGC:310,2011,FCAGEGC:ROOT
FCAGEGC:311,2011,FCAGEGC:ROOT
FCAGEGC:312,2011,FCAGEGC:ROOT
FCAGEGC:313,2011,FCAGEGC:ROOT
FCAGEGC:314,2011,FCAGEGC:ROOT
FCAGEGC:315,2011,FCAGEGC:ROOT
FCAGEGC:316,2011,FCAGEGC:ROOT
FCAGEGC:317,2011,FCAGEGC:ROOT
FCAGEGC:318,2011,FCAGEGC:ROOT
FCAGEGC:319,2011,FCAGEGC:ROOT
FCAGEGC:320,2011,FCAGEGC:ROOT
FCAGEGC:321,2011,FCAGEGC:ROOT
FCAGEGC:322,2011,FCAGEGC:ROOT
FCAGEGC:323,2011,FCAGEGC:ROOT
FCAGEGC:324,2011,FCAGEGC:ROOT
FCAGEGC:325,2011,FCAGEGC:ROOT
FCAGEGC:326,2011,FCAGEGC:ROOT
FCAGEGC:327,2011,FCAGEGC:ROOT
FCAGEGC:328,2011,FCAGEGC:ROOT
FCAGEGC:329,2011,FCAGEGC:ROOT
FCAGEGC:330,2011,FCAGEGC:ROOT
FCAGEGC:331,2011,FCAGEGC:ROOT
FCAGEGC:332,2011,FCAGEGC:ROOT
FCAGEGC:333,2011,FCAGEGC:ROOT
FCAGEGC:334,2011,FCAGEGC:ROOT
FCAGEGC:335,2011,FCAGEGC:ROOT
FCAGEGC:336,2011,FCAGEGC:ROOT
FCAGEGC:337,2011,FCAGEGC:ROOT
FCAGEGC:338,2011,FCAGEGC:ROOT
FCAGEGC:339,2011,FCAGEGC:ROOT
FCAGEGC:340,2011,FCAGEGC:ROOT
FCAGEGC:341,2011,FCAGEGC:ROOT
FCAGEGC:342,2011,FCAGEGC:ROOT
FCAGEGC:343,2011,FCAGEGC:ROOT
FCAGEGC:344,2011,FCAGEGC:ROOT
FCAGEGC:345,2011,FCAGEGC:ROOT
FCAGEGC:346,2011,FCAGEGC:ROOT
FCAGEGC:347,2011,FCAGEGC:ROOT
FCAGEGC:348,2011,FCAGEGC:ROOT
FCAGEGC:349,2011,FCAGEGC:ROOT
FCAGEGC:350,2011,FCAGEGC:ROOT
FCAGEGC:351,2011,FCAGEGC:ROOT
FCAGEGC:352,2011,FCAGEGC:ROOT
FCAGEGC:353,2011,FCAGEGC:ROOT
FCAGEGC:354,2011,FCAGEGC:ROOT
FCAGEGC:355,2011,FCAGEGC:ROOT
FCAGEGC:356,2011,FCAGEGC:ROOT
FCAGEGC:357,2011,FCAGEGC:ROOT
FCAGEGC:358,2011,FCAGEGC:ROOT
FCAGEGC:359,2011,FCAGEGC:ROOT
FCAGEGC:360,2011,FCAGEGC:ROOT
FCAGEGC:361,2011,FCAGEGC:ROOT
FCAGEGC:362,2011,FCAGEGC:ROOT
FCAGEGC:363,2011,FCAGEGC:ROOT
FCAGEGC:364,2011,FCAGEGC:ROOT
FCAGEGC:365,2011,FCAGEGC:ROOT
FCAGEGC:366,2011,FCAGEGC:ROOT
FCAGEGC:367,2011,FCAGEGC:ROOT
FCAGEGC:368,2011,FCAGEGC:ROOT
FCAGEGC:369,2011,FCAGEGC:ROOT
FCAGEGC:370,2011,FCAGEGC:ROOT
FCAGEGC:371,2011,FCAGEGC:ROOT
FCAGEGC:372,2011,FCAGEGC:ROOT
FCAGEGC:373,2011,FCAGEGC:ROOT
FCAGEGC:374,2011,FCAGEGC:ROOT
FCAGEGC:375,2011,FCAGEGC:ROOT
FCAGEGC:376,2011,FCAGEGC:ROOT
FCAGEGC:377,2011,FCAGEGC:ROOT
FCAGEGC:378,2011,FCAGEGC:ROOT
FCAGEGC:379,2011,FCAGEGC:ROOT
FCAGEGC:380,2011,FCAGEGC:ROOT
FCAGEGC:381,2011,FCAGEGC:ROOT
FCAGEGC:382,2011,FCAGEGC:ROOT
FCAGEGC:383,2011,FCAGEGC:ROOT
FCAGEGC:384,2011,FCAGEGC:ROOT
FCAGEGC:385,2011,FCAGEGC:ROOT
FCAGEGC:386,2011,FCAGEGC:ROOT
FCAGEGC:387,2011,FCAGEGC:ROOT
FCAGEGC:388,2011,FCAGEGC:ROOT
FCAGEGC:389,2011,FCAGEGC:ROOT
FCAGEGC:390,2011,FCAGEGC:ROOT
FCAGEGC:391,2011,FCAGEGC:ROOT
FCAGEGC:392,2011,FCAGEGC:ROOT
FCAGEGC:393,2011,FCAGEGC:ROOT
FCAGEGC:394,2011,FCAGEGC:ROOT
FCAGEGC:395,2011,FCAGEGC:ROOT
FCAGEGC:396,2011,FCAGEGC:ROOT
FCAGEGC:397,2011,FCAGEGC:ROOT
FCAGEGC:398,2011,FCAGEGC:ROOT
FCAGEGC:399,2011,FCAGEGC:ROOT
FCAGEGC:400,2011,FCAGEGC:ROOT
FCAGEGC:401,2011,FCAGEGC:ROOT
FCAGEGC:402,2011,FCAGEGC:ROOT
FCAGEGC:403,2011,FCAGEGC:ROOT
FCAGEGC:404,2011,FCAGEGC:ROOT
FCAGEGC:405,2011,FCAGEGC:ROOT
FCAGEGC:406,2011,FCAGEGC:ROOT
FCAGEGC:407,2011,FCAGEGC:ROOT
FCAGEGC:408,2011,FCAGEGC:ROOT
FCAGEGC:409,2011,FCAGEGC:ROOT
FCAGEGC:410,2011,FCAGEGC:ROOT
FCAGEGC:411,2011,FCAGEGC:ROOT
FCAGEGC:412,2011,FCAGEGC:ROOT
FCAGEGC:413,2011,FCAGEGC:ROOT
FCAGEGC:414,2011,FCAGEGC:ROOT
FCAGEGC:415,2011,FCAGEGC:ROOT
FCAGEGC:416,2011,FCAGEGC:ROOT
FCAGEGC:417,2011,FCAGEGC:ROOT
FCAGEGC:418,2011,FCAGEGC:ROOT
FCAGEGC:419,2011,FCAGEGC:ROOT
FCAGEGC:420,2011,FCAGEGC:ROOT
FCAGEGC:421,2011,FCAGEGC:ROOT
FCAGEGC:422,2011,FCAGEGC:ROOT
FCAGEGC:423,2011,FCAGEGC:ROOT
FCAGEGC:424,2011,FCAGEGC:ROOT
FCAGEGC:425,2011,FCAGEGC:ROOT
FCAGEGC:426,2011,FCAGEGC:ROOT
FCAGEGC:427,2011,FCAGEGC:ROOT
FCAGEGC:428,2011,FCAGEGC:ROOT
FCAGEGC:429,2011,FCAGEGC:ROOT
FCAGEGC:430,2011,FCAGEGC:ROOT
FCAGEGC:431,2011,FCAGEGC:ROOT
FCAGEGC:432,2011,FCAGEGC:ROOT
FCAGEGC:433,2011,FCAGEGC:ROOT
FCAGEGC:434,2011,FCAGEGC:ROOT
FCAGEGC:435,2011,FCAGEGC:ROOT
FCAGEGC:436,2011,FCAGEGC:ROOT
FCAGEGC:437,2011,FCAGEGC:ROOT
FCAGEGC:438,2011,FCAGEGC:ROOT
FCAGEGC:439,2011,FCAGEGC:ROOT
AAACCGG:440,2011,AAACCGG:ROOT
AAACCGG:441,2011,AAACCGG:ROOT
AAACCGG:442,2011,AAACCGG:ROOT
AAACCGG:443,2011,AAACCGG:ROOT
AAACCGG:444,2011,AAACCGG:ROOT
AAACCGG:445,2011,AAACCGG:ROOT
AAACCGG:446,2011,AAACCGG:ROOT
AAACCGG:447,2011,AAACCGG:ROOT
AAACCGG:448,2011,AAACCGG:ROOT
AAACCGG:449,2011,AAACCGG:ROOT
AAACCGG:450,2011,AAACCGG:ROOT
AAACCGG:451,2011,AAACCGG:ROOT
AAACCGG:452,2011,AAACCGG:ROOT
AAACCGG:453,2011,AAACCGG:ROOT
AAACCGG:454,2011,AAACCGG:ROOT
AAACCGG:455,2011,AAACCGG:ROOT
AAACCGG:456,2011,AAACCGG:ROOT
AAACCGG:457,2011,AAACCGG:ROOT
AAACCGG:458,2011,AAACCGG:ROOT
AAACCGG:459,2011,AAACCGG:ROOT
AAACCGG:460,2011,AAACCGG:ROOT
AAACCGG:461,2011,AAACCGG:ROOT
AAACCGG:462,2011,AAACCGG:ROOT
AAACCGG:463,2011,AAACCGG:ROOT
AAACCGG:464,2011,AAACCGG:ROOT
