id,clusterId,timeInfected
ADCEFFB_801_anc1,ADCEFFB,2011.0192
ADCEFFB_ROOT_anc2,ADCEFFB,NaN
ADCEFFB_ROOT_anc1,ADCEFFB,NaN
BFEEDGB_ROOT_anc4,BFEEDGB,NaN
BFEEDGB_ROOT_anc3,BFEEDGB,NaN
BFEEDGB_ROOT_anc2,BFEEDGB,NaN
BFEEDGB_ROOT_anc1,BFEEDGB,NaN
AAACCGG_ROOT,AAACCGG,NaN
FCAGEGC_ROOT_anc11,FCAGEGC,NaN
FCAGEGC_ROOT_anc10,FCAGEGC,NaN
FCAGEGC_ROOT_anc9,FCAGEGC,NaN
FCAGEGC_ROOT_anc8,FCAGEGC,NaN
FCAGEGC_278_anc1,FCAGEGC,2011
FCAGEGC_ROOT_anc7,FCAGEGC,NaN
FCAGEGC_ROOT_anc6,FCAGEGC,NaN
FCAGEGC_ROOT_anc5,FCAGEGC,NaN
FCAGEGC_ROOT_anc4,FCAGEGC,NaN
FCAGEGC_ROOT_anc3,FCAGEGC,NaN
FCAGEGC_ROOT_anc2,FCAGEGC,NaN
FCAGEGC_ROOT_anc1,FCAGEGC,NaN
JOIN_FCAGEGC_ROOT_anc1_AAACCGG_ROOT,JOIN,NaN
JOIN_JOIN_FCAGEGC_ROOT_anc1_AAACCGG_ROOT_BFEEDGB_ROOT_anc1,JOIN,NaN
JOIN_JOIN_JOIN_FCAGEGC_ROOT_anc1_AAACCGG_ROOT_BFEEDGB_ROOT_anc1_ADCEFFB_ROOT_anc1,JOIN,NaN
JOIN_JOIN_JOIN_JOIN_FCAGEGC_ROOT_anc1_AAACCGG_ROOT_BFEEDGB_ROOT_anc1_ADCEFFB_ROOT_anc1_DEACAEF_ROOT_anc1,JOIN,NaN
