id,clusterId,timeInfected
BFEEDGB_637,BFEEDGB,2011
BFEEDGB_669,BFEEDGB,2011
BFEEDGB_672,BFEEDGB,2011
AAACCGG_2238,AAACCGG,2011.096
AAACCGG_3679,AAACCGG,2011.1728
FCAGEGC_140,FCAGEGC,2011
FCAGEGC_4218,FCAGEGC,2011.2112
FCAGEGC_3220,FCAGEGC,2011.1536
FCAGEGC_5636,FCAGEGC,2011.3072
FCAGEGC_4249,FCAGEGC,2011.2112
FCAGEGC_248,FCAGEGC,2011
FCAGEGC_1717,FCAGEGC,2011.0768
FCAGEGC_898,FCAGEGC,2011.0192
FCAGEGC_4315,FCAGEGC,2011.2112
FCAGEGC_2186,FCAGEGC,2011.096
FCAGEGC_7301,FCAGEGC,2011.48
FCAGEGC_278,FCAGEGC,2011
FCAGEGC_6082,FCAGEGC,2011.3456
DEACAEF_ROOT_anc6,DEACAEF,NaN
DEACAEF_ROOT_anc5,DEACAEF,NaN
DEACAEF_ROOT_anc4,DEACAEF,NaN
DEACAEF_ROOT_anc3,DEACAEF,NaN
DEACAEF_ROOT_anc2,DEACAEF,NaN
DEACAEF_ROOT_anc1,DEACAEF,NaN
ADCEFFB_5927,ADCEFFB,2011.3456
BECDEAB_10523,BECDEAB,2012.6128
BECDEAB_9910,BECDEAB,2012.4976
BECDEAB_9467,BECDEAB,2012.3632
BECDEAB_10121_anc1,BECDEAB,2012.536
BECDEAB_9856,BECDEAB,2012.4784
BECDEAB_9301,BECDEAB,2012.2864
BECDEAB_9071,BECDEAB,2012.1136
GGCECBG_14824,GGCECBG,2013.1312
GGCECBG_15744,GGCECBG,2013.496
GGCECBG_15509,GGCECBG,2013.3232
GGCECBG_14352,GGCECBG,2013.0544
BECDEAB_11098,BECDEAB,2012.6896
BECDEAB_9757,BECDEAB,2012.4592
BECDEAB_9020_anc2,BECDEAB,2012.0752
BECDEAB_9020_anc1,BECDEAB,2012.0752
BECDEAB_8963,BECDEAB,2012.0368
BECDEAB_9320_anc2,BECDEAB,2012.2864
BECDEAB_9320_anc1,BECDEAB,2012.2864
BECDEAB_8786,BECDEAB,2011.9024
BECDEAB_8984,BECDEAB,2012.056
BECDEAB_8674,BECDEAB,2011.8256
EEACBDF_18284,EEACBDF,2014.0912
EEACBDF_16992,EEACBDF,2013.9376
EEACBDF_16282,EEACBDF,2013.8032
EEACBDF_17399,EEACBDF,2013.9952
EEACBDF_17948,EEACBDF,2014.0528
DDCGCAD_27868,DDCGCAD,2014.552
DDCGCAD_27145,DDCGCAD,2014.5136
DDCGCAD_32063_anc1,DDCGCAD,2015.0704
DDCGCAD_30117,DDCGCAD,2014.7056
DDCGCAD_23456,DDCGCAD,2014.36
EEACBDF_20604,EEACBDF,2014.2448
AADFFAF_37282_anc1,AADFFAF,2016.472
AADFFAF_34572,AADFFAF,2016.2224
AADFFAF_33605,AADFFAF,2016.0112
AADFFAF_33415,AADFFAF,2015.9152
AADFFAF_37759,AADFFAF,2016.5104
AADFFAF_33191,AADFFAF,2015.7232
AADFFAF_33095,AADFFAF,2015.608
AADFFAF_34614,AADFFAF,2016.2224
AADFFAF_33512,AADFFAF,2015.9728
AADFFAF_33236,AADFFAF,2015.7616
AADFFAF_33003,AADFFAF,2015.512
GDCEDCB_50992,GDCEDCB,2017.2784
GDCEDCB_49678,GDCEDCB,2017.1056
GDCEDCB_52356,GDCEDCB,2017.6048
GDCEDCB_51180,GDCEDCB,2017.3168
GDCEDCB_51261,GDCEDCB,2017.336
GDCEDCB_51080,GDCEDCB,2017.2976
GDCEDCB_50657,GDCEDCB,2017.2208
GDCEDCB_51617,GDCEDCB,2017.432
GDCEDCB_50075,GDCEDCB,2017.144
GDCEDCB_48977,GDCEDCB,2017.048
GDCEDCB_48680,GDCEDCB,2017.0288
GDCEDCB_46152,GDCEDCB,2016.8944
GDCEDCB_50079,GDCEDCB,2017.144
GDCEDCB_43952,GDCEDCB,2016.7984
GDCEDCB_49679,GDCEDCB,2017.1056
GDCEDCB_41755,GDCEDCB,2016.7024
AADFFAF_33303,AADFFAF,2015.8384
AADFFAF_39566,AADFFAF,2016.6064
AADFFAF_41105,AADFFAF,2016.6832
AADFFAF_34731,AADFFAF,2016.2416
AADFFAF_33677,AADFFAF,2016.0304
AADFFAF_38244,AADFFAF,2016.5296
AADFFAF_35730_anc1,AADFFAF,2016.3568
AADFFAF_35029,AADFFAF,2016.28
AADFFAF_33508,AADFFAF,2015.9728
AADFFAF_39994,AADFFAF,2016.6256
AADFFAF_35493,AADFFAF,2016.3184
AADFFAF_34297,AADFFAF,2016.1648
AADFFAF_33361,AADFFAF,2015.896
AADFFAF_33668,AADFFAF,2016.0304
AADFFAF_33272_anc2,AADFFAF,2015.8
AADFFAF_33272_anc1,AADFFAF,2015.8
AADFFAF_33253,AADFFAF,2015.7808
AADFFAF_34220,AADFFAF,2016.1456
AADFFAF_33540,AADFFAF,2015.9728
AADFFAF_34233,AADFFAF,2016.1648
AADFFAF_35186_anc1,AADFFAF,2016.2992
AADFFAF_34613,AADFFAF,2016.2224
AADFFAF_35577,AADFFAF,2016.3376
AADFFAF_35076,AADFFAF,2016.28
AADFFAF_34268,AADFFAF,2016.1648
AADFFAF_33705_anc2,AADFFAF,2016.0304
AADFFAF_33705_anc1,AADFFAF,2016.0304
AADFFAF_33483,AADFFAF,2015.9536
AADFFAF_33391,AADFFAF,2015.9152
AADFFAF_37066,AADFFAF,2016.4528
AADFFAF_35534,AADFFAF,2016.3376
BBGGAEC_55562,BBGGAEC,2018.0272
BBGGAEC_55167,BBGGAEC,2017.9888
BBGGAEC_55343,BBGGAEC,2018.008
BBGGAEC_56152,BBGGAEC,2018.0848
BBGGAEC_54579_anc2,BBGGAEC,2017.9312
BBGGAEC_54579_anc1,BBGGAEC,2017.9312
BBGGAEC_54389_anc1,BBGGAEC,2017.912
BBGGAEC_53732,BBGGAEC,2017.8352
BBGGAEC_53112,BBGGAEC,2017.7392
BBGGAEC_52908,BBGGAEC,2017.7008
BBGGAEC_55173,BBGGAEC,2017.9888
BBGGAEC_53587,BBGGAEC,2017.816
BBGGAEC_53215,BBGGAEC,2017.7584
BBGGAEC_52807,BBGGAEC,2017.6816
BBGGAEC_53478,BBGGAEC,2017.7968
BBGGAEC_52600,BBGGAEC,2017.6432
BBGGAEC_56344,BBGGAEC,2018.104
BBGGAEC_53597,BBGGAEC,2017.816
BBGGAEC_56759,BBGGAEC,2018.1424
BBGGAEC_55543,BBGGAEC,2018.0272
BBGGAEC_53874,BBGGAEC,2017.8544
BBGGAEC_56569,BBGGAEC,2018.1232
BBGGAEC_53342_anc2,BBGGAEC,2017.7776
BBGGAEC_53342_anc1,BBGGAEC,2017.7776
BBGGAEC_51964,BBGGAEC,2017.5088
BBGGAEC_56999_anc2,BBGGAEC,2018.1616
BBGGAEC_56999_anc1,BBGGAEC,2018.1616
BBGGAEC_55348,BBGGAEC,2018.008
BBGGAEC_54745,BBGGAEC,2017.9504
BBGGAEC_53716,BBGGAEC,2017.8352
BBGGAEC_55986,BBGGAEC,2018.0656
BBGGAEC_54964,BBGGAEC,2017.9696
BBGGAEC_53729,BBGGAEC,2017.8352
BBGGAEC_51658_anc2,BBGGAEC,2017.432
BBGGAEC_51658_anc1,BBGGAEC,2017.432
BBGGAEC_51506,BBGGAEC,2017.3936
AADFFAF_36450,AADFFAF,2016.4144
AADFFAF_34379,AADFFAF,2016.184
AADFFAF_33233_anc2,AADFFAF,2015.7616
AADFFAF_33233_anc1,AADFFAF,2015.7616
AADFFAF_33156,AADFFAF,2015.6656
AADFFAF_33324,AADFFAF,2015.8576
AADFFAF_48423,AADFFAF,2017.0288
AADFFAF_35193,AADFFAF,2016.2992
AADFFAF_33729,AADFFAF,2016.0496
AADFFAF_41609,AADFFAF,2016.7024
AADFFAF_33690,AADFFAF,2016.0304
AADFFAF_33536_anc1,AADFFAF,2015.9728
AADFFAF_33413,AADFFAF,2015.9152
AADFFAF_33229,AADFFAF,2015.7616
AADFFAF_33241,AADFFAF,2015.7808
AADFFAF_33178,AADFFAF,2015.704
AADFFAF_32988,AADFFAF,2015.4928
AADFFAF_37952,AADFFAF,2016.5104
AADFFAF_33310_anc2,AADFFAF,2015.8384
AADFFAF_33310_anc1,AADFFAF,2015.8384
AADFFAF_37996,AADFFAF,2016.5296
AADFFAF_35696,AADFFAF,2016.3568
AADFFAF_34758_anc2,AADFFAF,2016.2416
AADFFAF_34758_anc1,AADFFAF,2016.2416
AADFFAF_33094,AADFFAF,2015.608
AADFFAF_45288,AADFFAF,2016.8752
AADFFAF_40032,AADFFAF,2016.6256
AADFFAF_36995,AADFFAF,2016.4528
AADFFAF_32791_anc2,AADFFAF,2015.3392
AADFFAF_32791_anc1,AADFFAF,2015.3392
AADFFAF_32617,AADFFAF,2015.2432
AADFFAF_34558,AADFFAF,2016.2032
AADFFAF_33963,AADFFAF,2016.1072
AADFFAF_41928,AADFFAF,2016.7216
AADFFAF_46742,AADFFAF,2016.9328
AADFFAF_36716,AADFFAF,2016.4336
AADFFAF_34485,AADFFAF,2016.2032
AADFFAF_39771,AADFFAF,2016.6256
AADFFAF_34119,AADFFAF,2016.1264
AADFFAF_33326_anc2,AADFFAF,2015.8576
AADFFAF_33326_anc1,AADFFAF,2015.8576
AADFFAF_31590,AADFFAF,2014.936
