# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Aug 01 17:57:47 PDT 2020 [seed=1596329862853]
# -overwrite ncov-wa-clade.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	coalescent
0	-46945.02286051824	-36.62038823616341	-46908.402472282076	0.17219015474339272	2020.0299956376064	4.718879700984022	1.0	30.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	-46908.402472282076	-19.502327548600746
5000	-45841.71194062219	-206.88502389974977	-45634.82691672244	0.12636408329507165	2020.0758217090547	5.7165691596759265	2.0268729446162355	38.75804802550303	6.470950077262572	0.2651139177184354	0.2159883200485923	0.22711890129114645	0.2917788609418258	0.054949423993844525	0.0015301979545425174	-45634.82691672244	-143.32996165258373
10000	-45522.70397613781	-234.17169275901279	-45288.5322833788	0.12077824047383981	2020.081407551876	5.930482928254265	2.799509160456645	43.36637992356662	6.292592972506189	0.29993951537010205	0.18382515367271568	0.19131958071047978	0.3249157502467024	0.023413236145148522	0.001547631649815947	-45288.5322833788	-168.69980145060117
15000	-45478.172036711425	-242.38567541232402	-45235.7863612991	0.10447610479409797	2020.0977096875558	6.095449101544299	3.422610877387326	50.43087370488547	6.011229272808157	0.2967761205704927	0.18129596107452314	0.19675412120066946	0.32517379715431455	0.05316648898514176	0.0015639396835745384	-45235.7863612991	-174.99617932402307
20000	-45439.31425358555	-265.99401749105766	-45173.32023609449	0.10236738272874576	2020.099818409621	6.381078675181486	4.584068599285914	56.1668885431521	7.174151473750432	0.2984656411437488	0.18366547733495375	0.19500912472379206	0.3228597567975053	0.049070403206849945	0.0015642543340608716	-45173.32023609449	-197.74011685152533
25000	-45420.99809333451	-276.83159023309275	-45144.16650310141	0.09690471691140991	2020.1052810754384	6.626155129498223	6.57581306106452	63.66590561965345	6.500380998728934	0.2983651864285368	0.18394733056544343	0.19288911474015835	0.3247983682658613	0.023876445019256932	0.0014653404910657676	-45144.16650310141	-216.84610986577098
30000	-45390.25669854302	-280.2674863467551	-45109.98921219626	0.09709761468209813	2020.1050881776678	6.678640444106324	6.5764639556714135	63.7310518442435	8.826409091351056	0.2975654255797879	0.18309112489523421	0.19547153844695828	0.32387191107801944	0.020506579775349504	0.001439274153253407	-45109.98921219626	-222.09816455584587
35000	-45343.180638924	-290.99833400020503	-45052.182304923794	0.09502614664622548	2020.1071596457036	6.855201877997996	8.210570426048537	65.97584515506463	7.416710140118241	0.2959656877262448	0.1852070425378862	0.19296962319657748	0.32585764653929133	0.021282229637994074	0.00147792357147491	-45052.182304923794	-229.31190497359165
40000	-45349.97130744624	-291.7396355687867	-45058.23167187745	0.09309901284875259	2020.109086779501	6.823609089485356	8.247997086629368	69.30573157322634	6.023415951294069	0.29604078100260756	0.1833558750611083	0.19565372408895243	0.3249496198473316	0.05192493046835697	0.001470538722566662	-45058.23167187745	-230.7876144719496
45000	-45331.100231280776	-286.37638124178443	-45044.723850038994	0.09095869040256961	2020.1112271019472	7.141455640146637	16.403817159032542	81.49156892903585	6.559716657898242	0.29789047267641744	0.18351201457280775	0.19515742587673754	0.32344008687403714	0.030524230395378504	0.0014257223003826672	-45044.723850038994	-227.79687856835787
50000	-45317.99000942547	-298.9648392300054	-45019.02517019546	0.09297448435042899	2020.1092113079994	7.238734726480292	16.730322791143294	82.31286258454291	6.504655796216878	0.29697839586293345	0.1830304459240699	0.19490534315339422	0.3250858150596023	0.054947460896274565	0.0014590491592293134	-45019.02517019546	-237.3114035321074
55000	-45314.72047796547	-312.17120562875544	-45002.54927233671	0.10274432128090966	2020.099441471069	7.546657991593013	19.84811802705668	84.09450580661193	7.304710552289301	0.2983570633847063	0.17969270507394355	0.19633085878588125	0.3256193727554688	0.03488382224555794	0.001379032210429349	-45002.54927233671	-257.1541150071339
60000	-45317.192678290914	-295.5908143387018	-45021.601863952215	0.08519823973050102	2020.1169875526193	7.433996399968504	24.110259162040762	86.65410983620245	6.33610901705442	0.29409192044355026	0.17987084645735613	0.1923286523703588	0.33370858072873477	0.030674995466555277	0.001280154094106896	-45021.601863952215	-249.06856679731402
65000	-45308.45266113994	-308.1181235210181	-45000.334537618925	0.08629294717460206	2020.1158928451753	7.604914996910437	32.8380138534807	95.62747163278958	6.458590902141743	0.30416616339687874	0.1763034370096983	0.19244356792792938	0.32708683166549357	0.022479026227796788	0.0013612210524154918	-45000.334537618925	-253.51938349141622
